timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/09/23 21:02:39.752, NVIDIA GeForce RTX 5080 Laptop GPU, 58 %, 5201 MiB, 16303 MiB, 70
2026/09/23 21:02:41.752, NVIDIA GeForce RTX 5080 Laptop GPU, 94 %, 5198 MiB, 16303 MiB, 71
2026/09/23 21:02:43.752, NVIDIA GeForce RTX 5080 Laptop GPU, 85 %, 5246 MiB, 16303 MiB, 71
2026/09/23 21:02:45.753, NVIDIA GeForce RTX 5080 Laptop GPU, 55 %, 5363 MiB, 16303 MiB, 70
2026/09/23 21:02:47.753, NVIDIA GeForce RTX 5080 Laptop GPU, 95 %, 5300 MiB, 16303 MiB, 71
2026/09/23 21:02:49.753, NVIDIA GeForce RTX 5080 Laptop GPU, 99 %, 5204 MiB, 16303 MiB, 70
2026/09/23 21:02:51.753, NVIDIA GeForce RTX 5080 Laptop GPU, 86 %, 5306 MiB, 16303 MiB, 71
2026/09/23 21:02:53.753, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5202 MiB, 16303 MiB, 70
2026/09/23 21:02:55.754, NVIDIA GeForce RTX 5080 Laptop GPU, 76 %, 5233 MiB, 16303 MiB, 71
2026/09/23 21:02:57.754, NVIDIA GeForce RTX 5080 Laptop GPU, 38 %, 5233 MiB, 16303 MiB, 71
2026/09/23 21:02:59.754, NVIDIA GeForce RTX 5080 Laptop GPU, 59 %, 5203 MiB, 16303 MiB, 70
2026/09/23 21:03:01.754, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5326 MiB, 16303 MiB, 70
2026/09/23 21:03:03.755, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5230 MiB, 16303 MiB, 71
2026/09/23 21:03:05.755, NVIDIA GeForce RTX 5080 Laptop GPU, 91 %, 5264 MiB, 16303 MiB, 71
2026/09/23 21:03:07.755, NVIDIA GeForce RTX 5080 Laptop GPU, 61 %, 5241 MiB, 16303 MiB, 71
2026/09/23 21:03:09.755, NVIDIA GeForce RTX 5080 Laptop GPU, 98 %, 5239 MiB, 16303 MiB, 71
2026/09/23 21:03:11.756, NVIDIA GeForce RTX 5080 Laptop GPU, 58 %, 5202 MiB, 16303 MiB, 70
2026/09/23 21:03:13.756, NVIDIA GeForce RTX 5080 Laptop GPU, 93 %, 5203 MiB, 16303 MiB, 70
2026/09/23 21:03:15.756, NVIDIA GeForce RTX 5080 Laptop GPU, 77 %, 5200 MiB, 16303 MiB, 72
2026/09/23 21:03:17.756, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5303 MiB, 16303 MiB, 71
2026/09/23 21:03:19.756, NVIDIA GeForce RTX 5080 Laptop GPU, 97 %, 5254 MiB, 16303 MiB, 72
2026/09/23 21:03:21.757, NVIDIA GeForce RTX 5080 Laptop GPU, 90 %, 5332 MiB, 16303 MiB, 71
2026/09/23 21:03:23.757, NVIDIA GeForce RTX 5080 Laptop GPU, 88 %, 5244 MiB, 16303 MiB, 71
